GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,38,0,0,0,16,0,11,0,11,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,12,0,0,0,5,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,89,30,9,1,20,7,8,4,3,4
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,102,0,0,0,15,0,5,0,5,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,30,3,0,0,8,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,119,0,4,0,28,0,8,0,6,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},20,0,2,0,5,0,4,0,3,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},20,0,2,0,5,0,4,0,3,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.new Synchronization() {...},20,0,2,0,5,0,4,0,3,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,157,0,18,0,37,0,17,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,18,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,Store,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,132,0,4,0,35,0,10,0,8,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,21,0,2,0,8,0,3,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,116,0,10,0,24,0,10,0,5,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,61,0,6,0,15,0,5,0,2,0
